Exact Field,Exact Type,Category,Odoo Field,Odoo Type,Odoo Model,Notes
ID,Edm.Guid,Direct,x_aa_exact_account_id,char,res.partner,"Primary key. Named x_aa_exact_account_id to distinguish from x_aa_exact_contact_id (Contacts sheet). A company partner has this field populated; a person partner does not. Used for reconciliation, deduplication, and relationship resolution across all migrated tables."
Code,Edm.String,Direct,ref,char,res.partner,Exact account code (fixed-length numeric string with leading spaces). Maps to Odoo's external reference field. Strip leading spaces during migration. Only Accounts set ref — Contacts do not.
Name,Edm.String,Direct,name,char,res.partner,Account name. Direct mapping. (Contacts derive name from FirstName + MiddleName + LastName instead.)
SearchCode,Edm.String,Custom,x_aa_search_code,char,res.partner,Exact search/short code. No Odoo equivalent.
TradeName,Edm.String,Custom,x_aa_trade_name,char,res.partner,Registered trade name. Odoo has no dedicated trade name field.
Status,Edm.String,Custom,x_aa_status,char,res.partner,"Exact customer status: A=None, S=Suspect, P=Prospect, C=Customer. Preserved for full fidelity. Also drives Derived customer_rank."
Type,Edm.String,Custom,x_aa_account_type,char,res.partner,"A=Relation, D=Division. Preserve for reference."
IsSupplier,Edm.Boolean,Custom,x_aa_is_supplier,boolean,res.partner,Preserved as custom. Also drives Derived supplier_rank.
IsReseller,Edm.Boolean,Custom,x_aa_is_reseller,boolean,res.partner,No Odoo equivalent for reseller classification.
IsAccountant,Edm.Byte,Custom,x_aa_is_accountant,integer,res.partner,"Values: 0=No, 1=Yes (unpublished), 2=Yes (published). No Odoo equivalent."
IsCompetitor,Edm.Byte,Custom,x_aa_is_competitor,boolean,res.partner,No Odoo equivalent.
IsAgency,Edm.Byte,Custom,x_aa_is_agency,boolean,res.partner,No Odoo equivalent.
IsSales,Edm.Boolean,Custom,x_aa_is_sales,boolean,res.partner,"Whether account is allowed for sales. Odoo uses customer_rank > 0 to filter customers, but that is semantic, not a permission flag."
IsMailing,Edm.Byte,Custom,x_aa_is_mailing,boolean,res.partner,Excluded from marketing mailings. Odoo has is_blacklisted but semantics differ. Preserve as custom.
IsPilot,Edm.Boolean,Custom,x_aa_is_pilot,boolean,res.partner,Pilot account flag. No Odoo equivalent.
IsExtraDuty,Edm.Boolean,Custom,x_aa_is_extra_duty,boolean,res.partner,Eligibility for extra duty. No Odoo equivalent.
IsAnonymised,Edm.Byte,Custom,x_aa_is_anonymised,boolean,res.partner,"Whether account data has been anonymised. Shared field name with Contacts sheet — same field on res.partner, one per record."
AddressLine1,Edm.String,Direct,street,char,res.partner,First address line → Odoo street. (Contacts use concatenated AddressStreet + Number + Suffix instead.)
AddressLine2,Edm.String,Direct,street2,char,res.partner,Second address line → Odoo street2.
AddressLine3,Edm.String,Custom,x_aa_address_line_3,char,res.partner,Odoo has only street + street2. Third line preserved as custom.
City,Edm.String,Direct,city,char,res.partner,Direct mapping.
Postcode,Edm.String,Direct,zip,char,res.partner,Direct mapping.
Country,Edm.String,Relational,country_id,many2one → res.country,res.partner,Exact stores ISO country code (2-char). Resolve via res.country.code lookup.
CountryName,Edm.String,Skip,—,—,—,Denormalized display field. Value derivable from country_id.name.
State,Edm.String,Relational,state_id,many2one → res.country.state,res.partner,State/Province code. Resolve via res.country.state.code + country_id lookup.
StateName,Edm.String,Skip,—,—,—,Denormalized display field.
AddressSource,Edm.Byte,Custom,x_aa_address_source,integer,res.partner,CRM creation source for the address. No Odoo equivalent.
Email,Edm.String,Direct,email,char,res.partner,Direct mapping.
Phone,Edm.String,Direct,phone,char,res.partner,Direct mapping.
PhoneExtension,Edm.String,Custom,x_aa_phone_extension,char,res.partner,Odoo has no phone extension field. Shared field name with Contacts sheet.
Fax,Edm.String,Custom,x_aa_fax,char,res.partner,Odoo 18 has no fax field. Shared field name with Contacts sheet.
Website,Edm.String,Direct,website,char,res.partner,Direct mapping.
Latitude,Edm.Double,Direct,partner_latitude,float,res.partner,Direct mapping.
Longitude,Edm.Double,Direct,partner_longitude,float,res.partner,Direct mapping.
CreditLineSales,Edm.Double,Direct,credit_limit,float,res.partner,Sales credit limit. Also set use_partner_credit_limit=True if value > 0 (see Derived).
