Exact Field,Exact Type,Category,Odoo Field,Odoo Type,Odoo Model,Related Model,Notes
ID,Edm.Guid,Custom,x_aa_exact_id,char,stock.location,,"Primary key preservation. Non-negotiable — needed for reconciliation and for post-migration resolution of stock.warehouse.x_aa_default_storage_location_id back to the actual stock.location record. Custom field must be created on stock.location."
Code,Edm.String,Direct,name,char,stock.location,,"Short location code (e.g., ""A01"", ""RECEIVING""). Odoo's name is the location's primary display identifier — Exact Code is the closest semantic match (short, unique within warehouse). Complete hierarchical name (""WH/Stock/A01"") is auto-computed by Odoo via complete_name."
Description,Edm.String,Custom,x_aa_description,char,stock.location,,"Longer human-readable description of the location. No clean native target: stock.location.comment is html (type mismatch) and name is reserved for the short code. Preserved as a custom field for audit/reference. Custom field must be created on stock.location."
Warehouse,Edm.Guid,Relational,location_id,many2one,stock.location,stock.location,"Parent location. Resolution path (two-step): Exact Warehouse GUID → stock.warehouse (via x_aa_exact_id) → warehouse.lot_stock_id. This reparents the Exact storage location under the warehouse's main internal Stock location, giving Odoo the correct hierarchy. stock.location.warehouse_id then auto-computes from the parent chain."
Division,Edm.Int32,Relational,company_id,many2one,stock.location,res.company,Maps to company. Single-division migration → hardcode to target company.
Main,Edm.Byte,Custom,x_aa_is_main,boolean,stock.location,,"Flag for the primary storage location within a warehouse. There's always exactly one main storage location per Exact warehouse. No native equivalent in Odoo (the warehouse's lot_stock_id already plays the role of ""main location""). Stored for audit — custom field must be created on stock.location."
PickSequence,Edm.Int32,Custom,x_aa_pick_sequence,integer,stock.location,,"Sequence for picking operations within the warehouse. Odoo has posx/posy/posz (corridor/shelf/height) but those are 3D coordinates, not a flat picking sequence. No clean native equivalent — stored as a custom integer field for audit and for potential post-migration use in picking routing rules. Custom field must be created on stock.location."
Created,Edm.DateTime,Direct,create_date,datetime,stock.location,,Audit: creation timestamp.
Creator,Edm.Guid,Relational,create_uid,many2one,stock.location,res.users,Audit field. Lookup user GUID → res.users. Default to admin if unmapped. Dependency: user mapping not yet done.
Modified,Edm.DateTime,Direct,write_date,datetime,stock.location,,Audit: last modification timestamp.
Modifier,Edm.Guid,Relational,write_uid,many2one,stock.location,res.users,Audit field. Lookup user GUID → res.users. Default to admin if unmapped. Dependency: user mapping not yet done.
CreatorFullName,Edm.String,Skip,—,—,—,—,Denormalized display copy of Creator.
ModifierFullName,Edm.String,Skip,—,—,—,—,Denormalized display copy of Modifier.
WarehouseCode,Edm.String,Skip,—,—,—,—,Denormalized display copy of Warehouse. Value derivable from location_id → warehouse_id → stock.warehouse.code.
WarehouseDescription,Edm.String,Skip,—,—,—,—,Denormalized display copy of Warehouse. Value derivable from location_id → warehouse_id → stock.warehouse.name.
—,—,Derived,usage,selection,stock.location,,"Required. Default to 'internal' — Exact storage locations are physical locations inside the warehouse and map to Odoo's internal location type by definition."
