Exact Field,Exact Type,Category,Odoo Field,Odoo Type,Odoo Model,Related Model,Notes
PurchaseOrderID,Edm.Guid,Direct,x_aa_exact_id,char,purchase.order,,"Primary key preservation. Non-negotiable — needed for reconciliation, dedup, and line linkage."
OrderNumber,Edm.Int32,Direct,x_aa_order_number,integer,purchase.order,,"Exact's human-readable PO number. Cannot map to name — Odoo auto-generates name as a sequence (e.g., PO00001). Stored for reference/traceability."
Supplier,Edm.Guid,Relational,partner_id,many2one,purchase.order,res.partner,Vendor account. Lookup: Exact Account GUID → res.partner via x_aa_exact_id. Already mapped in Contacts domain.
SupplierContact,Edm.Guid,Relational,x_aa_supplier_contact_id,many2one,purchase.order,res.partner,Contact person at supplier. Lookup via x_aa_exact_id on res.partner. No native Odoo PO field for supplier contact — custom field needed.
PaymentCondition,Edm.String,Relational,payment_term_id,many2one,purchase.order,account.payment.term,Lookup: Exact PaymentCondition code → account.payment.term via x_aa_code. Already mapped in Contacts domain.
Currency,Edm.String,Relational,currency_id,many2one,purchase.order,res.currency,Lookup by ISO currency code → res.currency.name. Foundational data — assumed pre-existing in Odoo.
DeliveryAccount,Edm.Guid,Relational,dest_address_id,many2one,purchase.order,res.partner,Delivery/drop-ship address. Odoo has native dest_address_id for this. Lookup via x_aa_exact_id on res.partner.
DeliveryContact,Edm.Guid,Relational,x_aa_delivery_contact_id,many2one,purchase.order,res.partner,Contact person at delivery address. No native equivalent — custom field.
PurchaseAgent,Edm.Guid,Relational,user_id,many2one,purchase.order,res.users,Buyer/purchase agent. Maps to Odoo's native user_id (Buyer). Lookup: Exact employee/user GUID → res.users. Dependency: requires user mapping (not yet mapped).
Warehouse,Edm.Guid,Relational,picking_type_id,many2one,purchase.order,stock.picking.type,Odoo uses picking_type_id to determine incoming operation type (and hence warehouse). Lookup requires warehouse mapping. Dependency: not yet mapped.
IncotermCode,Edm.String,Relational,incoterm_id,many2one,purchase.order,account.incoterms,Incoterm. Lookup by code → account.incoterms. Odoo has native support.
Creator,Edm.Guid,Relational,create_uid,many2one,purchase.order,res.users,Audit field. Lookup user GUID → res.users. Default to admin if unmapped.
Modifier,Edm.Guid,Relational,write_uid,many2one,purchase.order,res.users,Audit field. Lookup user GUID → res.users. Default to admin if unmapped.
Division,Edm.Int32,Relational,company_id,many2one,purchase.order,res.company,Maps to company. Single-division migration → hardcode to target company.
OrderDate,Edm.DateTime,Direct,date_order,datetime,purchase.order,,Order date. Direct mapping.
ReceiptDate,Edm.DateTime,Direct,date_planned,datetime,purchase.order,,Expected goods receipt date → Odoo's date_planned (Expected Arrival).
Approved,Edm.DateTime,Direct,date_approve,datetime,purchase.order,,Approval/confirmation datetime. Maps to Odoo's date_approve (Confirmation Date).
Created,Edm.DateTime,Direct,create_date,datetime,purchase.order,,Audit: creation timestamp.
Modified,Edm.DateTime,Direct,write_date,datetime,purchase.order,,Audit: last modification timestamp.
Description,Edm.String,Direct,x_aa_description,char,purchase.order,,PO description. Odoo's name is auto-generated sequence — cannot repurpose. No other native description field on purchase.order. Custom field.
YourRef,Edm.String,Direct,partner_ref,char,purchase.order,,Vendor/supplier reference number. Direct match to Odoo's partner_ref.
Remarks,Edm.String,Direct,notes,html,purchase.order,,Remarks → Odoo's notes (Terms and Conditions). Type conversion: plain text → HTML.
ExchangeRate,Edm.Double,Direct,currency_rate,float,purchase.order,,Exchange rate. Maps to Odoo's native currency_rate.
IncotermAddress,Edm.String,Direct,incoterm_location,char,purchase.order,,Incoterm location/address. Direct match to Odoo's incoterm_location.
DropShipment,Edm.Boolean,Custom,x_aa_drop_shipment,boolean,purchase.order,,"Drop-ship flag. Odoo handles drop-shipping via routes, not a flag on PO. Custom field for reference."
Source,Edm.Int16,Custom,x_aa_source,integer,purchase.order,,"How PO was created (1=Manual, 2=Import, 3=Other, 4=PO, 5=SO, 6=Supplier items, 7=Subcontract, 8=PO advice, 9=Shop order, 10=MRP, 11=REST API, 12=Merge). No Odoo equivalent. Custom field for audit trail."
IncotermVersion,Edm.Int16,Custom,x_aa_incoterm_version,integer,purchase.order,,Incoterm year version (2010/2020). Odoo doesn't track the version. Custom field.
OrderStatus,Edm.Int32,Custom,x_aa_order_status,integer,purchase.order,,"Exact status (10=Open, 20=Partial, 30=Complete, 40=Canceled). Stored as-is for reference. State derivation uses this — see Derived rows."
