Exact Field,Exact Type,Category,Odoo Field,Odoo Type,Odoo Model,Related Model,Notes
ID,Edm.Guid,Direct,x_aa_exact_id,char,account.payment.term,,"Primary key. Stored for reconciliation, re-runs, and relationship resolution from Accounts and Subscriptions."
Code,Edm.String,Custom,x_aa_code,char,account.payment.term,,"Exact payment condition code. Odoo has no code field on payment terms — identification is by name and ID. This code is the lookup key used in Exact Accounts (PaymentConditionSales, PaymentConditionPurchase), so it must be stored for resolution."
Description,Edm.String,Direct,name,char,account.payment.term,,Description of the payment condition → Odoo payment term name.
PaymentDays,Edm.Int32,Custom,x_aa_payment_days,integer,account.payment.term,,Number of days added to due date calculation. Preserved on header for reference. Also used to derive the account.payment.term.line record (see child sheet). Note: the combination of PaymentEndOfMonths + PaymentDays defines the full due date logic.
PaymentEndOfMonths,Edm.Int32,Custom,x_aa_payment_end_of_months,integer,account.payment.term,,"Number of month-end periods before adding PaymentDays. Preserved on header. Used to derive delay_type on the child line. Mapping: 0 → ""days_after_invoice_date"", 1 → ""days_after_end_of_month"", 2+ → ""days_after_end_of_month"" with adjusted nb_days (approximate — Odoo has no native multi-month-end concept; complex cases may need manual review)."
Percentage,Edm.Double,Custom,x_aa_percentage,float,account.payment.term,,"Fraction of total invoice amount for this condition (e.g., 1.0 = 100%). Preserved on header. Used to derive child line value/value_amount. If 1.0 or null → line value=""balance""; if < 1.0 → line value=""percent"", value_amount = Percentage * 100."
PaymentMethod,Edm.String,Custom,x_aa_payment_method,char,account.payment.term,,"Method of payment (B=On credit, I=Collection, K=Cash, Q=PSP Collection). No Odoo equivalent on payment terms — Odoo handles payment methods on journals and payment records, not on terms. Preserve as custom."
DiscountPercentage,Edm.Double,Direct,discount_percentage,float,account.payment.term,,"Early payment discount percentage. Direct mapping. Exact stores as fraction (e.g., 0.02); Odoo stores as percentage (e.g., 2.0). Convert: multiply by 100 during migration. Also set early_discount=True if value > 0 (see Derived rows)."
DiscountPaymentDays,Edm.Int32,Direct,discount_days,integer,account.payment.term,,Number of days to pay early to qualify for discount. Direct mapping.
DiscountCalculation,Edm.String,Custom,x_aa_discount_calculation,char,account.payment.term,,"How discount is calculated relative to VAT (E=Excluding VAT, I=Including VAT). Preserved as custom. Also used in combination with VATCalculation to derive early_pay_discount_computation (see Derived rows)."
VATCalculation,Edm.String,Custom,x_aa_vat_calculation,char,account.payment.term,,"How VAT is calculated relative to discount (E=Excluding discount, I=Including discount). Preserved as custom. Used jointly with DiscountCalculation to derive early_pay_discount_computation."
PaymentDiscountType,Edm.String,Custom,x_aa_payment_discount_type,char,account.payment.term,,"Type of discount: B=Settlement discount, K=Credit surcharge. No Odoo equivalent. Preserve as custom."
CreditManagementScenario,Edm.Guid,Custom,x_aa_credit_mgmt_scenario_id,char,account.payment.term,,Default credit management scenario GUID. No Odoo equivalent on payment terms. Preserve GUID.
CreditManagementScenarioCode,Edm.String,Skip,—,—,—,—,Denormalized display field for CreditManagementScenario.
CreditManagementScenarioDescription,Edm.String,Skip,—,—,—,—,Denormalized display field for CreditManagementScenario.
Created,Edm.DateTime,Direct,create_date,datetime,account.payment.term,,Creation timestamp. Direct mapping.
Creator,Edm.Guid,Relational,create_uid,many2one,account.payment.term,res.users,Creator user GUID. Resolve via res.users lookup. Default to admin if not mapped.
CreatorFullName,Edm.String,Skip,—,—,—,—,Denormalized display field.
Modified,Edm.DateTime,Direct,write_date,datetime,account.payment.term,,Last modification timestamp. Direct mapping.
Modifier,Edm.Guid,Relational,write_uid,many2one,account.payment.term,res.users,Modifier user GUID. Resolve via res.users lookup. Default to admin if not mapped.
ModifierFullName,Edm.String,Skip,—,—,—,—,Denormalized display field.
Division,Edm.Int32,Relational,company_id,many2one,account.payment.term,res.company,"Exact division code. Resolve to res.company. For single-company setups, hardcode."
—,—,Derived,early_discount,boolean,account.payment.term,,"Set to True if DiscountPercentage > 0, else False. Enables the early discount UI and computation in Odoo."
—,—,Derived,early_pay_discount_computation,selection,account.payment.term,,"Derived from DiscountCalculation + VATCalculation combination. Mapping: if VATCalculation=""E"" (VAT excludes discount) → ""excluded"" (tax never reduced); if VATCalculation=""I"" and DiscountCalculation=""I"" → ""always"" (tax always reduced based on discounted amount); if VATCalculation=""I"" and DiscountCalculation=""E"" → ""mixed"" (tax reduced only when discount actually taken). Default to ""excluded"" if no discount. Review with accounting team — this mapping is approximate and business-critical."
—,—,Derived,active,boolean,account.payment.term,,Set to True for all migrated payment terms. Deactivate manually post-migration if any are no longer in use.
