Exact Field,Exact Type,Category,Odoo Field,Odoo Type,Odoo Model,Notes
Description,Edm.String,Direct,name,char,product.category,Item group description maps directly to category name.
GLCosts,Edm.Guid,Relational,property_account_expense_categ_id,many2one,account.account,"""GL account on which the costs of items will be booked"" → Odoo expense/COGS account. Resolve via x_aa_exact_id on account.account. Depends on account.account migration (not yet mapped)."
GLRevenue,Edm.Guid,Relational,property_account_income_categ_id,many2one,account.account,"""GL account for revenue of items"" → Odoo income account. Resolve via x_aa_exact_id on account.account. Depends on account.account migration (not yet mapped)."
GLPurchasePriceDifference,Edm.Guid,Relational,property_account_creditor_price_difference_categ,many2one,account.account,Clear semantic match: both represent the price difference account between purchase price and cost price. Depends on account.account migration (not yet mapped).
GLStock,Edm.Guid,Relational,property_stock_valuation_account_id,many2one,account.account,"""GL account for stock entries"" → Odoo stock valuation account. Clear semantic match. Depends on account.account migration (not yet mapped)."
ID,Edm.Guid,Custom,x_aa_exact_id,char,product.category,"Primary key preservation (non-negotiable). Required for reconciliation, re-runs, deduplication, and relationship resolution from product.template."
Code,Edm.String,Custom,x_aa_code,char,product.category,Exact item group code. No native code field on product.category. Used as human-readable identifier and potential lookup key during ETL.
GLPurchaseAccount,Edm.Guid,Custom,x_aa_gl_purchase_account_id,char,product.category,"AMBIGUOUS: ""GL Purchase account for purchase invoicing according to (non-)perpetual inventory method."" In Odoo, purchase invoicing uses property_account_expense_categ_id (same target as GLCosts). Whether this equals GLCosts depends on the client's inventory method. Preserved as custom to avoid data loss. During UAT, compare values: if always identical to GLCosts, this field can be dropped. If different, may need migration logic to set the correct expense account based on inventory method."
GLStockVariance,Edm.Guid,Custom,x_aa_gl_stock_variance_id,char,product.category,"""GL stock variance account for perpetual inventory."" Odoo splits this concept into property_stock_account_input_categ_id (incoming stock moves) and property_stock_account_output_categ_id (outgoing stock moves). No 1:1 match. Preserved as custom. During account.account mapping, evaluate whether this maps to input, output, or both."
GLCostsWorkInProgress,Edm.Guid,Custom,x_aa_gl_costs_wip_id,char,product.category,"""GL account for WIP project costs."" Odoo has property_stock_account_production_cost_id but it is MRP-specific (manufacturing order valuation), not general project WIP. Semantic mismatch too large for direct mapping. Preserved as custom."
GLRevenueWorkInProgress,Edm.Guid,Custom,x_aa_gl_revenue_wip_id,char,product.category,"""GL account for WIP project revenue."" No Odoo equivalent on product.category. Preserved as custom for data completeness."
IsDefault,Edm.Byte,Custom,x_aa_is_default,boolean,product.category,"Indicates the default item group assigned to new items. No native Odoo equivalent — Odoo handles default category via ir.default/context, not a flag on the record. Preserved for migration logic: ETL can use this to set ir.default for product.template's categ_id."
Notes,Edm.String,Custom,x_aa_notes,text,product.category,Free-text notes. No native notes/description field on product.category (name is the only text field).
—,—,Derived,parent_id,many2one,product.category,"Exact ItemGroups are flat (no hierarchy). Set to False (root-level) during import. If business requires hierarchy, define parent assignments in a post-migration transformation based on Code patterns or business rules."
—,—,Derived,property_valuation,selection,product.category,"No Exact source. Odoo default is 'manual_periodic'. Set per company accounting policy. If automated inventory valuation is needed (required for GLStock → property_stock_valuation_account_id to function at runtime), set to 'real_time'. Decision needed from business."
—,—,Derived,property_cost_method,selection,product.category,"No Exact source. Odoo default is 'standard'. Alternatives: 'average' (AVCO), 'fifo'. Set per company costing policy during migration configuration."
GLCostsCode,Edm.String,Skip,—,—,—,Denormalized code of GLCosts account. Retain in ETL scripts as fallback lookup key if GUID resolution fails against account.account.
GLCostsDescription,Edm.String,Skip,—,—,—,Denormalized description of GLCosts account.
GLRevenueCode,Edm.String,Skip,—,—,—,Denormalized code of GLRevenue account. Retain in ETL as fallback lookup key.
GLRevenueDescription,Edm.String,Skip,—,—,—,Denormalized description of GLRevenue account.
GLPurchasePriceDifferenceCode,Edm.String,Skip,—,—,—,Denormalized code of GLPurchasePriceDifference account. Retain in ETL as fallback lookup key.
GLPurchasePriceDifferenceDescr,Edm.String,Skip,—,—,—,Denormalized description of GLPurchasePriceDifference account.
GLStockCode,Edm.String,Skip,—,—,—,Denormalized code of GLStock account. Retain in ETL as fallback lookup key.
GLStockDescription,Edm.String,Skip,—,—,—,Denormalized description of GLStock account.
GLPurchaseAccountCode,Edm.String,Skip,—,—,—,Denormalized code of GLPurchaseAccount. Value preserved via custom GUID field x_aa_gl_purchase_account_id.
GLPurchaseAccountDescription,Edm.String,Skip,—,—,—,Denormalized description of GLPurchaseAccount.
GLStockVarianceCode,Edm.String,Skip,—,—,—,Denormalized code of GLStockVariance. Value preserved via custom GUID field x_aa_gl_stock_variance_id.
GLStockVarianceDescription,Edm.String,Skip,—,—,—,Denormalized description of GLStockVariance account.
GLCostsWorkInProgressCode,Edm.String,Skip,—,—,—,Denormalized code of GLCostsWorkInProgress. Value preserved via custom GUID field x_aa_gl_costs_wip_id.
GLCostsWorkInProgressDescription,Edm.String,Skip,—,—,—,Denormalized description of GLCostsWorkInProgress account.
GLRevenueWorkInProgressCode,Edm.String,Skip,—,—,—,Denormalized code of GLRevenueWorkInProgress. Value preserved via custom GUID field x_aa_gl_revenue_wip_id.
GLRevenueWorkInProgressDescription,Edm.String,Skip,—,—,—,Denormalized description of GLRevenueWorkInProgress account.
Division,Edm.Int32,Skip,—,—,—,"Multi-company division code. Handled at migration configuration level (company filtering), not per-record."
Created,Edm.DateTime,Skip,—,—,—,"Audit timestamp. Odoo ORM manages create_date automatically. If historical dates must be preserved, set create_date via ORM bypass during import."
Creator,Edm.Guid,Skip,—,—,—,Audit field → create_uid (res.users). res.users dependency not yet resolved. Odoo ORM sets create_uid to the importing user by default.
CreatorFullName,Edm.String,Skip,—,—,—,Denormalized display copy of Creator.
Modified,Edm.DateTime,Skip,—,—,—,Audit timestamp. Odoo ORM manages write_date automatically.
Modifier,Edm.Guid,Skip,—,—,—,Audit field → write_uid (res.users). res.users dependency not yet resolved.
ModifierFullName,Edm.String,Skip,—,—,—,Denormalized display copy of Modifier.
