Exact Field,Exact Type,Category,Odoo Field,Odoo Type,Odoo Model,Related Model,Notes
ID,Edm.Guid,Direct,x_aa_exact_id,char,stock.warehouse,,"Primary key preservation. Non-negotiable — needed for reconciliation, re-runs, and resolving Warehouse references from other domains (e.g., StorageLocations.Warehouse, PurchaseOrders.Warehouse)."
Code,Edm.String,Direct,code,char,stock.warehouse,,"Short warehouse code (e.g., ""MAIN"", ""WH01""). Odoo's code field is the ""Short Name"" used to identify the warehouse — direct semantic match. Caveat: Odoo convention favors short codes (historically ≤5 chars); verify Exact codes fit or plan a truncation strategy during migration."
Description,Edm.String,Direct,name,char,stock.warehouse,,Human-readable warehouse name → Odoo's main display name for stock.warehouse. Direct semantic match.
Division,Edm.Int32,Relational,company_id,many2one,stock.warehouse,res.company,Maps to company. Single-division migration → hardcode to target company.
Main,Edm.Byte,Custom,x_aa_is_main,boolean,stock.warehouse,,"Flag for the primary warehouse. There's always exactly one main warehouse per Exact administration. Stored as boolean for audit. Also drives a Derived sequence (sequence=1 when Main=True) — see Derived rows below."
UseStorageLocations,Edm.Byte,Custom,x_aa_use_storage_locations,boolean,stock.warehouse,,"Mirrors the Exact UseStorageLocations flag. Indicates whether the warehouse uses discrete storage locations. Stored as audit reference; does not itself trigger automatic stock.location creation — StorageLocations are mapped separately (see InventoryStorageLocations sheet). NOTE: existing field help text says ""False for all warehouses in the current migration"" — revisit this text if storage locations are actually being migrated now."
DefaultStorageLocation,Edm.Guid,Custom,x_aa_default_storage_location_id,char,stock.warehouse,,"GUID of the default StorageLocation in Exact. Stored as char (not resolved to stock.location) to avoid a circular dependency during migration (warehouse needs a default location; locations are parented under the warehouse). Post-migration reconciliation can cross-link this to the imported stock.location via x_aa_exact_id if needed."
EMail,Edm.String,Custom,x_aa_email,char,stock.warehouse,,Email address associated with the warehouse (contact/notifications). No native email field on stock.warehouse — custom.
ManagerUser,Edm.Guid,Custom,x_aa_manager_user_id,char,stock.warehouse,,"Exact user GUID of the warehouse manager. No native ""manager"" field on stock.warehouse. Stored as char for reference — not resolved to res.users (user mapping pending). Post-migration reconciliation can resolve once users are mapped."
Created,Edm.DateTime,Direct,create_date,datetime,stock.warehouse,,Audit: creation timestamp.
Creator,Edm.Guid,Relational,create_uid,many2one,stock.warehouse,res.users,Audit field. Lookup user GUID → res.users. Default to admin if unmapped. Dependency: user mapping not yet done.
Modified,Edm.DateTime,Direct,write_date,datetime,stock.warehouse,,Audit: last modification timestamp.
Modifier,Edm.Guid,Relational,write_uid,many2one,stock.warehouse,res.users,Audit field. Lookup user GUID → res.users. Default to admin if unmapped. Dependency: user mapping not yet done.
CreatorFullName,Edm.String,Skip,—,—,—,—,Denormalized display copy of Creator.
ModifierFullName,Edm.String,Skip,—,—,—,—,Denormalized display copy of Modifier.
DefaultStorageLocationCode,Edm.String,Skip,—,—,—,—,Denormalized display copy of DefaultStorageLocation.
DefaultStorageLocationDescription,Edm.String,Skip,—,—,—,—,Denormalized display copy of DefaultStorageLocation.
—,—,Derived,sequence,integer,stock.warehouse,,"Derived from Main: Main=True → sequence=1 (makes this the primary/default warehouse in the Odoo UI); other warehouses → auto-assigned by Odoo. Behavior documented in the x_aa_is_main field help."
—,—,Derived,reception_steps,selection,stock.warehouse,,Required. Default to 'one_step' (direct receipt into stock). Exact does not model reception routing on the warehouse entity — choose default based on customer operational requirements.
—,—,Derived,delivery_steps,selection,stock.warehouse,,Required. Default to 'ship_only' (direct shipping from stock). Exact does not model delivery routing on the warehouse entity.
—,—,Derived,manufacture_steps,selection,stock.warehouse,,"Required. Default to 'mrp_one_step'. Only meaningful if the MRP module is active, but the field is still required on the model."
—,—,Derived,view_location_id,many2one,stock.warehouse,stock.location,"Required. Auto-created by Odoo when a warehouse is created — the ""view"" parent location that contains all child locations for this warehouse. Do not set manually during import; let Odoo's warehouse creation hook populate it."
—,—,Derived,lot_stock_id,many2one,stock.warehouse,stock.location,"Required. Auto-created by Odoo when a warehouse is created — the main internal Stock location. Exact StorageLocations will be reparented under this location (see InventoryStorageLocations sheet). Do not set manually during import."
—,—,Derived,partner_id,many2one,stock.warehouse,res.partner,Warehouse address. Exact does not store warehouse addresses on the warehouse entity. Leave empty or default to the company's partner record during migration.
