Exact Field,Exact Type,Category,Odoo Field,Odoo Type,Odoo Model,Notes
ID,Edm.Guid,Custom,x_aa_exact_id,char,product.template,Always preserve Exact primary key. Critical for resolving SubscriptionLines.Item → product.product (via template's product_variant_id).
Code,Edm.String,Direct,default_code,char,product.template,Direct mapping. Exact item code → Odoo Internal Reference. Both serve as the business-facing product code.
SearchCode,Edm.String,Custom,x_aa_search_code,char,product.template,Exact search code. Odoo has no separate search code field (search is full-text on name/default_code/barcode).
Barcode,Edm.String,Direct,barcode,char,product.template,Direct mapping.
Description,Edm.String,Direct,name,char,product.template,"Direct mapping. Exact item description → Odoo product name. Note: Exact Description is max 60 chars, Odoo name is unlimited."
ExtraDescription,Edm.String,Direct,description_sale,text,product.template,"Longer description (255 chars). Maps well to Odoo 'Sales Description' which is copied to SO lines, delivery orders, and invoices."
Notes,Edm.String,Direct,description,html,product.template,Additional notes → Odoo general description (html). Wrap plain text in <p> tags.
StandardSalesPrice,Edm.Double,Direct,list_price,float,product.template,Direct mapping. Standard sales price → Odoo Sales Price.
CostPriceStandard,Edm.Double,Direct,standard_price,float,product.template,Standard cost → Odoo Cost field. Used for margin calculations and inventory valuation.
AverageCost,Edm.Double,Custom,x_aa_average_cost,float,product.template,Exact's running average cost. Odoo computes AVCO internally via stock valuation layers — not a writable field in the same way. Preserve for reconciliation.
CostPriceNew,Edm.Double,Custom,x_aa_cost_price_new,float,product.template,Proposed new cost price. No Odoo equivalent (Odoo updates cost directly or via valuation).
CostPriceCurrency,Edm.String,Relational,cost_currency_id,many2one → res.currency,product.template,Currency of cost prices. Resolve ISO code → res.currency.
ItemGroup,Edm.Guid,Relational,categ_id,many2one → product.category,product.template,"Exact ItemGroup → Odoo product category. Requires ItemGroup GUID → product.category lookup. If ItemGroups are not migrated, default to Odoo's 'All' category."
ItemGroupCode,Edm.String,Skip,—,—,—,Denormalized display field. Value derivable from ItemGroup → product.category.name.
ItemGroupDescription,Edm.String,Skip,—,—,—,Denormalized display field.
Unit,Edm.String,Relational,uom_id,many2one → uom.uom,product.template,Default unit of measure. Resolve Exact unit code → Odoo uom.uom. Also sets uom_po_id if purchase UoM should match.
UnitDescription,Edm.String,Skip,—,—,—,Denormalized display field.
UnitType,Edm.String,Custom,x_aa_unit_type,char,product.template,"A=Area, L=Length, O=Other, T=Time, V=Volume, W=Weight. Odoo infers UoM category from the uom.uom record itself. Stored for reference."
SalesVatCode,Edm.String,Relational,taxes_id,many2many → account.tax,product.template,Default sales tax. Resolve Exact VAT code → Odoo account.tax.
SalesVatCodeDescription,Edm.String,Skip,—,—,—,Denormalized display field.
IsTaxableItem,Edm.Byte,Custom,x_aa_is_taxable_item,boolean,product.template,"Exact taxability flag. In Odoo, taxability is determined by which taxes_id records are assigned. Stored for reference."
IsSalesItem,Edm.Boolean,Direct,sale_ok,boolean,product.template,Direct mapping. 'Can be sold' flag.
IsPurchaseItem,Edm.Boolean,Direct,purchase_ok,boolean,product.template,Direct mapping. 'Can be purchased' flag.
IsStockItem,Edm.Boolean,Direct,is_storable,boolean,product.template,"Direct mapping. Exact stock item ≈ Odoo 'Track Inventory'. Note: subscription items are often services (is_storable=False), so verify per item."
GrossWeight,Edm.Double,Custom,x_aa_gross_weight,float,product.template,Odoo has 'weight' (net weight for shipping). Gross weight has no native field.
NetWeight,Edm.Double,Direct,weight,float,product.template,Direct mapping. Net weight → Odoo weight (used in shipping calculations).
